district,total_ntd,land_area,main_building_material,building_area,num_room,num_hall,num_toilet,transaction_year,transaction_month,building_age
Zhongshan Area,38800000,17.8,Reinforced concrete construction,177.87,4,2,2,2019,10,1944
Daan District,46380000,36.79,Reinforced concrete construction,195.27,4,2,2,2019,9,1946
Beitou,3280000,22.54,Reinforced concrete construction,85.06,4,2,1,2019,10,1949
Beitou,17300000,34,Strengthen brickwork,76.92,4,2,2,2019,10,1960
Neihu District,13500000,30.2,Reinforced concrete construction,103.2,4,1,2,2019,11,1950
Neihu District,13560000,40.25,Reinforced concrete construction,91.35,4,0,4,2019,10,1953
shihlin,43000000,84.19,Reinforced concrete construction,277.66,4,2,3,2019,9,1942
Neihu District,15600000,35.35,Reinforced concrete construction,108.83,4,2,3,2019,11,1947
Daan District,16000000,32.25,Reinforced concrete construction,90.11,4,3,2,2019,10,1960.071429
Songshan District,35300000,62.88,Reinforced concrete construction,145.44,4,2,1,2019,10,1956
Xinyi District,15200000,32,Reinforced concrete construction,86.4,4,1,2,2019,6,1956.675
Datong District,18000000,48.67,Strengthen brickwork,143.04,4,2,2,2019,10,1963
Xinyi District,12000000,18.8,Reinforced concrete construction,68.15,4,0,4,2019,10,1954
Wanhua District,10000000,58,Strengthen brickwork,76.8,4,2,2,2019,10,2019
Nangang District,17380000,36.5,Reinforced concrete construction,95.76,4,2,2,2019,8,1945
Wanhua District,9480000,27,Brickwork,66.63,4,2,3,2019,10,1952
Daan District,43000000,43.08,Reinforced concrete construction,172.22,4,2,2,2019,10,1957
Daan District,43100000,35,Reinforced concrete construction,188.14,4,2,2,2019,10,1946
Songshan District,15880000,34.75,Reinforced concrete construction,98.5,4,3,2,2019,11,1956
Neihu District,16000000,33.5,Reinforced concrete construction,117.95,4,1,2,2019,10,1943
Songshan District,36880000,28.68,Reinforced concrete construction,147.77,4,2,2,2019,10,1951
Daan District,35200000,35.36,Reinforced concrete construction,145.01,4,2,2,2019,10,1945
Zhongshan Area,23750000,17.65,Reinforced concrete construction,148.14,4,2,2,2019,10,1942
Neihu District,17500000,35.35,Reinforced concrete construction,109.04,4,2,2,2019,11,1947
Xinyi District,22300000,32.5,Strengthen brickwork,86.34,4,2,2,2019,11,1961
Neihu District,11000000,28.5,Strengthen brickwork,54.05,4,1,2,2019,11,2019
Wenshan District,18500000,29.55,Reinforced concrete construction,128.65,4,2,2,2019,11,1930
Zhongzheng District,23000000,48.6,Reinforced concrete construction,149.34,4,2,2,2019,10,1948
Daan District,25000000,30.2,Reinforced concrete construction,131.3,4,2,2,2019,10,1946.190476
Zhongshan Area,15000000,27.75,Reinforced concrete construction,97.52,4,2,2,2019,11,1954
shihlin,31200000,29.13,Reinforced concrete construction,144.34,4,2,2,2019,10,1945
shihlin,8000000,11.31,Reinforced concrete construction,55.7,4,2,2,2019,8,1947
shihlin,16080000,34.71,Reinforced concrete construction,120.28,4,2,2,2019,10,1949
Daan District,21000000,26.72,Reinforced concrete construction,180.1,4,2,3,2019,11,1940.777778
Daan District,20660000,28.84,Reinforced concrete construction,105.09,4,2,1,2019,11,1947
Zhongshan Area,20630000,30.99,Reinforced concrete construction,113.97,4,0,4,2019,10,1949
Neihu District,30000000,56.76,Reinforced concrete construction,192.06,4,2,2,2019,11,1937
Wenshan District,12680000,27.26,Reinforced concrete construction,93.31,4,0,3,2019,11,1945.885714
Zhongshan Area,41880000,90,Strengthen brickwork,221.19,4,2,2,2019,9,1963
Zhongshan Area,34500000,21.41,Reinforced concrete construction,196.57,4,2,2,2019,11,1941
Songshan District,35800000,25.65,Reinforced concrete construction,146.98,4,2,3,2019,11,1948.384615
shihlin,9580000,31,Reinforced concrete construction,91.62,4,2,2,2019,11,1954
Daan District,39000000,33.55,Reinforced concrete construction,159.57,4,2,2,2019,10,1939.631579
Zhongshan Area,21800000,42.5,Reinforced concrete construction,121.34,4,2,2,2019,10,1955
shihlin,17500000,40.8,Strengthen brickwork,61.76,4,2,2,2019,11,1954
Wenshan District,17500000,46.07,Reinforced concrete construction,134.89,4,2,2,2019,11,1945
Zhongzheng District,23880000,27.36,Reinforced concrete construction,84.83,4,2,3,2019,11,1956
shihlin,22000000,37.45,Reinforced concrete construction,139.32,4,2,2,2019,10,1944
shihlin,20800000,36.34,Reinforced concrete construction,135.14,4,2,2,2019,11,1943
shihlin,21500000,34.96,Reinforced concrete construction,118.25,4,2,2,2019,8,1947.861111
Xinyi District,21000000,54,Strengthen brickwork,67.5,4,2,2,2019,10,1963
Neihu District,9000000,20.95,Reinforced concrete construction,92.26,4,2,2,2019,11,1936
Xinyi District,9000000,30.75,Reinforced concrete construction,73.79,4,1,1,2019,9,1956.675
Nangang District,7820000,22,Strengthen brickwork,77,4,2,2,2019,11,1955.6
Beitou,23500000,123,Strengthen brickwork,158.62,4,3,2,2019,10,1958
Wenshan District,14000000,42,Strengthen brickwork,101.15,4,2,2,2019,11,1956.9375
shihlin,22500000,27.94,Reinforced concrete construction,113.69,4,2,2,2019,11,1947.861111
Neihu District,47500000,33.51,Reinforced concrete construction,234.07,4,2,2,2019,11,1926
Nangang District,25500000,17.41,Reinforced concrete construction,126.41,4,2,2,2019,10,1924.5
Beitou,15800000,49.61,Reinforced concrete construction,146.12,4,3,2,2019,10,1951
Songshan District,20200000,36.5,Reinforced concrete construction,90.88,4,2,2,2019,10,1955.176471
shihlin,12750000,23.23,Reinforced concrete construction,91.65,4,1,3,2019,12,1948
Zhongzheng District,15600000,31.6,Reinforced concrete construction,119.76,4,2,1,2019,10,1945
Wenshan District,13500000,42.78,Reinforced concrete construction,111.4,4,2,2,2019,11,1956.9375
Wenshan District,14500000,39.13,Reinforced concrete construction,127.19,4,2,2,2019,11,1949
Datong District,19700000,17.2,Reinforced concrete construction,148.34,4,2,2,2019,11,1945
Neihu District,230000000,96.98,See other registration items,526.69,4,2,5,2019,5,1912
Beitou,11500000,37.25,Reinforced concrete construction,140.96,4,2,3,2019,11,1952
Songshan District,16880000,23,Reinforced concrete construction,68.48,4,3,2,2019,12,1957
Neihu District,10800000,33.04,Reinforced concrete construction,87.68,4,3,1,2019,11,1943
Zhongzheng District,16800000,26,Reinforced concrete construction,140.83,4,2,1,2019,11,1947
shihlin,16180000,26.25,Reinforced concrete construction,82.97,4,0,4,2019,12,1958
shihlin,24000000,38.72,Reinforced concrete construction,145.23,4,2,2,2019,12,1944
Xinyi District,36500000,26.25,Reinforced concrete construction,157,4,2,2,2019,12,1943
Songshan District,28600000,38.67,Reinforced concrete construction,156.9,4,2,2,2019,11,1942.75
Wenshan District,9520000,40.75,Strengthen brickwork,99.28,4,2,2,2019,10,1956.9375
Zhongshan Area,27200000,29.57,Reinforced concrete construction,142.04,4,2,2,2019,9,1946
Songshan District,21731688,28.47,Reinforced concrete construction,155.97,4,2,2,2019,12,1950
Xinyi District,19800000,15.07,Reinforced concrete construction,75.55,4,2,2,2019,7,1938.125
Xinyi District,19500000,25.4,Reinforced concrete construction,117.83,4,2,2,2019,11,1948
Xinyi District,50000000,250,Reinforced concrete construction,247.12,4,3,3,2019,11,1945
Neihu District,15000000,39.11,Reinforced concrete construction,105.46,4,2,2,2019,12,1951
shihlin,13800000,26,Reinforced concrete construction,97.23,4,3,3,2019,6,1946
shihlin,24250000,30.64,Reinforced concrete construction,143.14,4,2,2,2019,11,1946
shihlin,20500000,34.64,Reinforced concrete construction,172.59,4,2,2,2019,11,1940
Xinyi District,2500000,9,Reinforced concrete construction,21.77,4,1,1,2019,11,1957
Beitou,17500000,41.5,Reinforced concrete construction,122.68,4,2,2,2019,11,1957
Nangang District,29500000,15.91,Reinforced concrete construction,115.54,4,4,3,2019,12,1924.5
Datong District,5500000,18.75,Strengthen brickwork,47.03,4,1,1,2019,11,1956.125
Neihu District,13650000,35.86,Reinforced concrete construction,118.68,4,2,3,2019,11,1943
Wenshan District,12500000,33.75,Reinforced concrete construction,78.66,4,2,2,2019,11,1956.9375
Nangang District,16140000,34,Reinforced concrete construction,111.85,4,0,4,2019,12,1943.285714
Neihu District,11380000,24.14,Reinforced concrete construction,89.08,4,2,1,2019,12,1947
Daan District,36500000,34.6,Reinforced concrete construction,151.82,4,2,2,2019,11,1948
shihlin,8500000,38,Reinforced concrete construction,109.43,4,2,2,2019,11,1957
Xinyi District,13000000,54.75,Strengthen brickwork,107.04,4,1,1,2019,11,1956.675
Zhongshan Area,35880000,26.53,Reinforced concrete construction,148.2,4,2,2,2019,11,1942
Zhongzheng District,13200000,27.33,Strengthen brickwork,60.15,4,0,4,2019,12,2019
shihlin,12000000,36.28,Reinforced concrete construction,109.83,4,2,1,2019,10,1953
shihlin,22880000,31.71,Reinforced concrete construction,140.65,4,2,2,2019,11,1950
Daan District,15500000,25,Reinforced concrete construction,94.05,4,0,4,2019,11,1939.8
Daan District,39676000,52.12,Strengthen brickwork,158.91,4,2,3,2019,12,1960.071429
Zhongshan Area,29500000,30.06,Reinforced concrete construction,150.36,4,2,2,2019,12,1951
Zhongshan Area,17580000,6.63,Reinforced concrete construction,70.09,4,2,1,2019,11,1926
Neihu District,15800000,43.43,Reinforced concrete construction,135.83,4,2,2,2019,11,1946
Songshan District,33000000,28.53,Reinforced concrete construction,147.04,4,2,2,2019,12,1953
Songshan District,32500000,19.37,Reinforced concrete construction,144.1,4,2,2,2019,12,1941
Songshan District,32500000,26.48,Reinforced concrete construction,144.94,4,2,3,2019,10,1951
Xinyi District,24150000,39.1,Reinforced concrete construction,154.34,4,2,2,2019,10,1943
Neihu District,14100000,26.99,Reinforced concrete construction,105.33,4,2,2,2019,11,1946
Zhongshan Area,22100000,22.45,Reinforced concrete construction,119.09,4,2,2,2019,12,1947
Beitou,16150000,33.72,Reinforced concrete construction,123.88,4,2,2,2019,12,1946
Zhongshan Area,23000000,36.5,Reinforced concrete construction,88.35,4,2,2,2019,12,1957
Daan District,16500000,39.69,Reinforced concrete construction,114.28,4,2,2,2019,12,1960.071429
Zhongshan Area,28000000,28.51,Reinforced concrete construction,158.17,4,2,3,2019,12,1947
Wenshan District,7611380,32.22,Reinforced concrete construction,128.08,4,2,2,2019,11,1923
Zhongzheng District,19600000,50.75,Strengthen brickwork,130.37,4,2,2,2019,12,1960
Nangang District,15000000,35,Reinforced concrete construction,97.67,4,2,2,2019,11,1955
Beitou,5500000,64.5,Strengthen brickwork,102.93,4,2,2,2019,12,1954
Neihu District,19100000,53.7,Reinforced concrete construction,153.41,4,2,2,2019,12,1943
Songshan District,15200000,27,Reinforced concrete construction,76.01,4,4,2,2019,11,1956
Neihu District,32100000,112.2,Reinforced concrete construction,98.33,4,2,2,2019,11,1957
Songshan District,18000000,40.15,Reinforced concrete construction,158.54,4,2,2,2019,11,1938
Songshan District,14500000,6.9,Reinforced concrete construction,72.17,4,3,2,2019,12,1941
Xinyi District,23000000,24.8,Reinforced concrete construction,113.68,4,2,2,2019,11,1941
Daan District,35100000,30.4,Reinforced concrete construction,142.71,4,3,3,2019,11,1949
Neihu District,17500000,29.95,Reinforced concrete construction,94.52,4,1,2,2019,11,1944
Wenshan District,22770000,84.05,Reinforced concrete construction,166.29,4,2,2,2019,12,1944
Neihu District,24000000,46.46,Reinforced concrete construction,192.42,4,2,2,2019,10,1942
Daan District,42000000,31.99,Reinforced concrete construction,135.48,4,2,2,2019,11,1944
Zhongshan Area,36000000,55.75,Reinforced concrete construction,155.75,4,2,2,2019,12,1954
Zhongzheng District,45300000,33.62,Reinforced concrete construction,179.7,4,2,2,2019,12,1953
Zhongshan Area,9000000,9.49,Reinforced concrete construction,55.2,4,1,2,2019,2,1947
Daan District,42880000,42,Reinforced concrete construction,167.96,4,2,3,2019,12,1959
Neihu District,14000000,27.44,Reinforced concrete construction,115.29,4,3,3,2019,12,1946
Nangang District,14500000,30.75,Reinforced concrete construction,88.58,4,2,2,2019,12,1955.6
shihlin,21000000,37.6,Reinforced concrete construction,133.47,4,2,2,2019,12,1949
shihlin,45800000,33.28,Reinforced concrete construction,225.61,4,2,2,2019,11,1941
Songshan District,27500000,25.69,Reinforced concrete construction,136.33,4,2,2,2019,10,1950
Nangang District,10400000,42.75,Reinforced concrete construction,69.53,4,2,3,2019,11,1958
Daan District,37380000,33.36,Reinforced concrete construction,162.18,4,2,2,2019,12,1939.631579
Daan District,61800000,22.54,Reinforced concrete construction,166.98,4,2,2,2019,12,1943
Zhongzheng District,15800000,35.75,Strengthen brickwork,97.41,3,2,1,2019,10,1961
Wanhua District,11000000,36.75,Reinforced concrete construction,92.02,3,2,2,2019,7,1957
Neihu District,13600000,23.24,Reinforced concrete construction,89.72,3,2,2,2019,10,1946
Beitou,21500000,42,Reinforced concrete construction,105.97,3,2,2,2019,10,1956
shihlin,15500000,33.24,Reinforced concrete construction,114.1,3,2,2,2019,9,1948
Beitou,10000000,28.4,Reinforced concrete construction,91.42,3,2,2,2019,9,1954
Daan District,31600000,25.38,Reinforced concrete construction,115.37,3,2,1,2019,7,1939
Daan District,15700000,24,Reinforced concrete construction,80.57,3,2,1,2019,10,1959
Wenshan District,12800000,36.33,Reinforced concrete construction,109,3,2,2,2019,9,1941
Nangang District,3900000,21.25,Strengthen brickwork,77,3,1,1,2019,9,1955.6
Xinyi District,23850000,25.3,Reinforced concrete construction,131.75,3,2,2,2019,10,1943
Daan District,51000000,20.57,Reinforced concrete construction,185.77,3,2,2,2019,8,1950
Datong District,7830000,21.5,Reinforced concrete construction,79.59,3,1,1,2019,9,1957
Daan District,23200000,32.95,Reinforced concrete construction,116.56,3,2,2,2019,10,1949
Daan District,18800000,24.8,Reinforced concrete construction,94.94,3,2,2,2019,10,1943
shihlin,20300000,26.88,Reinforced concrete construction,125.45,3,2,2,2019,10,1946
shihlin,8500000,25.75,Reinforced concrete construction,78.67,3,2,1,2019,10,1954
Songshan District,18000000,41,Reinforced concrete construction,118.42,3,2,1,2019,10,1958
Xinyi District,19500000,31.25,Reinforced concrete construction,88.49,3,2,2,2019,10,1953
Zhongzheng District,30880000,45.25,Reinforced concrete construction,137.31,3,2,2,2019,10,1957.272727
Wenshan District,12900000,18.22,Reinforced concrete construction,76.9,3,1,1,2019,10,1936
Wenshan District,11800000,29.82,Reinforced concrete construction,110.74,3,2,2,2019,10,1948
Wenshan District,6000000,20.75,Strengthen brickwork,46.32,3,2,2,2019,11,1961
Zhongshan Area,13000000,30.25,Reinforced concrete construction,113.94,3,2,1,2019,9,1944
Xinyi District,11000000,24.75,Reinforced concrete construction,82.58,3,2,2,2019,10,1952
Songshan District,28880000,45.47,Reinforced concrete construction,145.08,3,2,2,2019,6,1941
shihlin,22880000,33.03,Reinforced concrete construction,107.69,3,2,2,2019,10,1948
shihlin,8680000,30,Reinforced concrete construction,81.66,3,2,1,2019,10,1952
shihlin,9000000,22.5,Reinforced concrete construction,47.99,3,1,1,2019,9,1957
shihlin,10000000,29.4,Reinforced concrete construction,78.05,3,2,1,2019,8,1952
Daan District,28900000,20.02,Reinforced concrete construction,105.13,3,2,2,2019,10,1945
Daan District,35000000,15.78,Reinforced concrete construction,128.91,3,2,2,2019,9,1948
Wenshan District,7020000,29.25,Reinforced concrete construction,77.32,3,1,1,2019,10,1956.9375
Daan District,17200000,15.83,Reinforced concrete construction,64.3,3,2,1,2019,9,1959
shihlin,13700000,27.94,Reinforced concrete construction,117.81,3,2,2,2019,9,1947.861111
shihlin,14680000,20.09,Reinforced concrete construction,92.21,3,2,2,2019,8,1949
Nangang District,14000000,29.84,Reinforced concrete construction,90.39,3,2,1,2019,9,1955.6
Zhongshan Area,15520000,32.8,Reinforced concrete construction,92.32,3,2,1,2019,9,1953
Zhongshan Area,11800000,17.14,Reinforced concrete construction,75.46,3,1,3,2019,9,1955
shihlin,23680000,23.59,Reinforced concrete construction,116.11,3,2,2,2019,9,1947
shihlin,17850000,27,Reinforced concrete construction,126.31,3,2,2,2019,9,1952
Beitou,12550000,35.5,Reinforced concrete construction,94.1,3,2,1,2019,10,1957
Xinyi District,12000000,35,Reinforced concrete construction,105.45,3,2,2,2019,10,1955
Neihu District,17000000,23.41,Reinforced concrete construction,83.61,3,2,2,2019,10,1933
Neihu District,11680000,22.49,Reinforced concrete construction,78.52,3,2,1,2019,9,1947
Neihu District,13200000,38.63,Reinforced concrete construction,98.73,3,2,2,2019,9,1943
Zhongzheng District,13297100,30.3,Reinforced concrete construction,108.41,3,2,2,2019,10,1954
Wanhua District,9000000,23.87,Reinforced concrete construction,88.83,3,2,1,2019,10,1949
Wenshan District,16300000,29.67,Reinforced concrete construction,118.64,3,2,2,2019,9,1947
Zhongzheng District,17640000,24.29,Reinforced concrete construction,107.33,3,2,2,2019,10,1947.875
Wenshan District,6400000,34.88,Reinforced concrete construction,100.67,3,2,2,2019,10,1956.9375
Datong District,13500000,14.24,Reinforced concrete construction,138.79,3,2,2,2019,10,1913
Datong District,34700000,13.67,Reinforced concrete construction,132.62,3,2,2,2019,10,1913
Wanhua District,19300000,36.02,Reinforced concrete construction,145.36,3,2,2,2019,9,1946
Zhongshan Area,13200000,11.93,Reinforced concrete construction,138.7,3,2,2,2019,10,1937
Songshan District,19080000,40,Reinforced concrete construction,108.69,3,2,2,2019,9,1960
Beitou,14800000,21.77,Reinforced concrete construction,103.46,3,1,2,2019,10,1946
Daan District,41500000,35.2,Reinforced concrete construction,165.28,3,2,2,2019,10,1947
Xinyi District,20500000,29.6,Reinforced concrete construction,103.02,3,2,2,2019,8,1951
Daan District,26800000,25.33,Reinforced concrete construction,129.9,3,2,2,2019,10,1945
Daan District,33800000,26.25,Reinforced concrete construction,139.69,3,2,2,2019,10,1946
Beitou,7500000,11.58,Reinforced concrete construction,73.33,3,2,1,2019,10,1949
Beitou,11500000,44.18,Reinforced concrete construction,110.69,3,2,2,2019,10,1951
Beitou,14800000,35.75,Reinforced concrete construction,83.25,3,2,1,2019,10,1958
shihlin,13680000,39.4,Reinforced concrete construction,107.26,3,2,1,2019,10,1952
shihlin,15100000,31.8,Reinforced concrete construction,120.43,3,2,2,2019,10,1946
Beitou,11000000,30,Reinforced concrete construction,95.7,3,2,1,2019,10,1956
Beitou,9100000,17.5,Reinforced concrete construction,60.89,3,1,1,2019,10,1959
shihlin,24000000,112,Strengthen brickwork,170.18,3,2,1,2019,10,1963
Xinyi District,8100000,34.5,Reinforced concrete construction,98.41,3,2,2,2019,9,1956.675
Songshan District,24010000,20.27,Reinforced concrete construction,126.01,3,1,2,2019,5,1947
Songshan District,17800000,47,Reinforced concrete construction,81.6,3,2,2,2019,7,1955.176471
Xinyi District,12000000,26.8,Reinforced concrete construction,91.4,3,2,1,2019,10,1952
Xinyi District,11000000,32.5,Reinforced concrete construction,88.77,3,2,1,2019,10,1960
Xinyi District,23750000,37.04,Reinforced concrete construction,123.93,3,2,2,2019,10,1950
Songshan District,31500000,27.33,Reinforced concrete construction,139.31,3,2,2,2019,7,1951
Songshan District,26800000,68.25,Reinforced concrete construction,119.55,3,2,2,2019,10,1955.176471
Xinyi District,18000000,48.5,Reinforced concrete construction,105.28,3,2,1,2019,10,1956.675
Zhongshan Area,12880000,28.25,Reinforced concrete construction,85.13,3,3,2,2019,10,1953
Neihu District,27300000,12.46,Reinforced concrete construction,132.15,3,2,2,2019,8,1912
Neihu District,14100000,44.48,Reinforced concrete construction,108.26,3,2,2,2019,10,1941
Zhongshan Area,29300000,14.66,Reinforced concrete construction,140.55,3,2,2,2019,10,1944
